Membership No  Date Joined  Active  
    49580      2016-9-22    no    
    50584      2020-4-13    no    
    30828      2016-3-5     no    
    93209      2017-8-20    no    
    55770      2018-2-18    no    
    53562      2020-9-1     no    
    92404      2018-3-2     no    
    62500      2019-8-5     no    
    64344      2016-12-10   no    
    96178      2018-6-1     no    
    83090      2015-5-2     no    
    77414      2016-5-3     no    
    61415      2018-2-11    no    
    70502      2019-11-10   no    
    41073      2017-12-14   no    
